bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_name,numberOfDoors,sell_id,vehicleTransmission,vendor,pts,gear,wheel,gearbox,price
лифтбек,SKODA,бежевый,1.4,150,GASOLINE,140000,2016,OCTAVIA,5.0,1102691650,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,795000
лифтбек,SKODA,коричневый,1.2,105,GASOLINE,44000,2014,OCTAVIA,5.0,1101435810,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,745000
лифтбек,SKODA,синий,1.6,90,GASOLINE,19953,2017,RAPID,5.0,1102675890,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,810000
внедорожник 5 дв.,SKODA,чёрный,2.0,150,DIESEL,14831,2019,KODIAQ,5.0,1102637759,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,2415000
внедорожник 5 дв.,SKODA,серебристый,1.4,125,GASOLINE,32000,2019,KODIAQ,5.0,1102084296,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,1619000
лифтбек,SKODA,чёрный,1.8,152,GASOLINE,117632,2012,SUPERB,5.0,1102186048,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,615000
внедорожник 5 дв.,SKODA,белый,1.8,152,GASOLINE,88183,2016,YETI,5.0,1101596263,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,969000
лифтбек,SKODA,белый,1.8,152,GASOLINE,88000,2013,SUPERB,5.0,1101948123,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,769000
внедорожник 5 дв.,SKODA,белый,2.0,150,DIESEL,106000,2019,KODIAQ,5.0,1102516324,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,2175000
внедорожник 5 дв.,SKODA,белый,1.4,150,GASOLINE,43965,2018,KODIAQ,5.0,1102674685,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1750000
лифтбек,SKODA,чёрный,1.6,102,GASOLINE,159000,2009,OCTAVIA,5.0,1102158371,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,280000
лифтбек,SKODA,серый,1.8,180,GASOLINE,55958,2017,OCTAVIA,5.0,1102029542,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1289000
лифтбек,SKODA,синий,1.6,102,GASOLINE,190000,2012,OCTAVIA,5.0,1102530685,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,480000
внедорожник 5 дв.,SKODA,белый,1.4,125,GASOLINE,68768,2018,KODIAQ,5.0,1101860465,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,1599000
внедорожник 5 дв.,SKODA,коричневый,1.8,152,GASOLINE,67000,2011,YETI,5.0,1101969350,MECHANICAL,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,MT,599000
внедорожник 5 дв.,SKODA,серый,1.4,122,GASOLINE,75000,2015,YETI,5.0,1102359021,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,699000
лифтбек,SKODA,чёрный,1.8,152,GASOLINE,156182,2013,SUPERB,5.0,1102057842,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,719000
внедорожник 5 дв.,SKODA,пурпурный,1.8,152,GASOLINE,102000,2014,YETI,5.0,1101518833,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,859000
лифтбек,SKODA,бежевый,1.8,180,GASOLINE,30460,2018,OCTAVIA,5.0,1102624918,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1285419
лифтбек,SKODA,серый,1.8,180,GASOLINE,126548,2015,SUPERB,5.0,1102077882,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1269000
внедорожник 5 дв.,SKODA,голубой,1.8,152,GASOLINE,120000,2012,YETI,5.0,1102592757,MECHANICAL,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,MT,569000
внедорожник 5 дв.,SKODA,серый,1.6,110,GASOLINE,87000,2017,YETI,5.0,1102099468,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,908000
лифтбек,SKODA,синий,1.6,110,GASOLINE,90867,2015,RAPID,5.0,1102634030,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,740000
лифтбек,SKODA,белый,1.8,152,GASOLINE,134000,2009,OCTAVIA,5.0,1102345994,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,430000
лифтбек,SKODA,голубой,1.4,122,GASOLINE,117324,2014,RAPID,5.0,1102707195,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,625000
универсал 5 дв.,SKODA,пурпурный,2.0,200,GASOLINE,139666,2011,SUPERB,5.0,1102704332,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,787000
лифтбек,SKODA,серый,1.6,102,GASOLINE,70032,2011,OCTAVIA,5.0,1102706920,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,624000
внедорожник 5 дв.,SKODA,белый,1.8,152,GASOLINE,45000,2017,YETI,5.0,1102706775,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1367000
лифтбек,SKODA,серый,1.6,102,GASOLINE,81242,2009,OCTAVIA,5.0,1102179989,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,419000
внедорожник 5 дв.,SKODA,серый,2.0,150,DIESEL,18092,2020,KODIAQ,5.0,1102711993,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,2599000
внедорожник 5 дв.,SKODA,белый,1.4,150,GASOLINE,15694,2018,KODIAQ,5.0,1102555122,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,2010000
универсал 5 дв.,SKODA,красный,2.0,200,GASOLINE,230432,2011,SUPERB,5.0,1102386635,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,820000
внедорожник 5 дв.,SKODA,серый,1.4,125,GASOLINE,26319,2019,KODIAQ,5.0,1102059566,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,1720000
внедорожник 5 дв.,SKODA,белый,1.6,110,GASOLINE,103000,2014,YETI,5.0,1102319419,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,755000
внедорожник 5 дв.,SKODA,красный,1.8,152,GASOLINE,100868,2017,YETI,5.0,1102639847,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1215000
лифтбек,SKODA,серебристый,1.8,152,GASOLINE,122000,2012,SUPERB,5.0,1102592318,AUTOMATIC,EUROPEAN,1,FORWARD_CONTROL,LEFT,AT,689000
универсал 5 дв.,SKODA,красный,1.4,86,GASOLINE,367343,2008,FABIA,5.0,1101662421,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,220000
лифтбек,AUDI,чёрный,3.0,310,GASOLINE,130000,2013,A7,5.0,1102417385,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1500000
внедорожник 5 дв.,AUDI,чёрный,1.4,150,GASOLINE,19300,2017,Q3,5.0,1102658323,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1950000
седан,AUDI,серый,1.8,88,GASOLINE,377720,1990,80,4.0,1102704512,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,80000
внедорожник 5 дв.,AUDI,чёрный,2.0,249,GASOLINE,70000,2017,Q5,5.0,1101987854,ROBOT,EUROPEAN,0,ALL_WHEEL_DRIVE,LEFT,AMT,2035000
седан,AUDI,чёрный,1.8,190,GASOLINE,77000,2015,A6,4.0,1101402687,ROBOT,EUROPEAN,1,FORWARD_CONTROL,LEFT,AMT,1225000
внедорожник 5 дв.,AUDI,чёрный,2.0,180,GASOLINE,97573,2016,Q5,5.0,1101701943,AUTOMATIC,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AT,1650000
седан,AUDI,синий,2.3,133,GASOLINE,786115,1993,100,4.0,1102105220,MECHANICAL,EUROPEAN,1,FORWARD_CONTROL,LEFT,MT,69000
лифтбек,AUDI,красный,3.0,340,GASOLINE,11634,2018,A7,5.0,1101836123,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,4940000
внедорожник 5 дв.,AUDI,оранжевый,2.0,177,DIESEL,98000,2012,Q3,5.0,1102465243,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,1115000
внедорожник 5 дв.,AUDI,белый,2.0,211,GASOLINE,137000,2010,Q5,5.0,1101700775,ROBOT,EUROPEAN,1,ALL_WHEEL_DRIVE,LEFT,AMT,845000
