iter	MAPE	RMSE
0	0.9436575433	1834248.495
1	0.874870507	1728469.947
2	0.8177628013	1639827.25
3	0.7737402342	1556779.53
4	0.7174831532	1478374.367
5	0.6708699278	1416133.716
6	0.639126144	1359062.021
7	0.6061085316	1304605.587
8	0.5782910285	1255450.042
9	0.5505865579	1212396.886
10	0.5246968824	1172003.464
11	0.4995359751	1135869.512
12	0.4785137236	1105740.212
13	0.454781802	1072510.567
14	0.4349768384	1040453.143
15	0.4155481752	1013297.602
16	0.3974162736	989532.9082
17	0.3853234094	968765.9962
18	0.3714469958	949678.4457
19	0.3554589145	931672.9331
20	0.3473237064	915710.9425
21	0.3348997256	896886.6511
22	0.3258250454	880200.043
23	0.3169486392	863572.394
24	0.3098726025	850926.0207
25	0.3075695158	838585.042
26	0.3008226894	824130.5801
27	0.2926033458	808069.3299
28	0.2825701293	796899.8636
29	0.2802095123	788246.4182
30	0.2784370905	780416.2288
31	0.2746375664	772959.716
32	0.2728444903	764519.9657
33	0.2682420439	756042.0309
34	0.2597975578	747733.0161
35	0.256638381	740660.8601
36	0.2502942658	732044.5465
37	0.2493007706	727663.3796
38	0.2435829881	721057.3188
39	0.2422245833	715848.0175
40	0.2374140531	707910.2522
41	0.2355286774	702148.079
42	0.2308701097	697240.2828
43	0.2274658049	691523.3192
44	0.2242906321	687516.8298
45	0.2206989812	682197.2032
46	0.218211185	676507.6995
47	0.2180812645	673078.2041
48	0.2173706376	669889.8367
49	0.2143674926	665396.3287
50	0.213319809	661218.7802
51	0.2097685047	657579.5424
52	0.20793425	653411.0111
53	0.2071336527	650673.3342
54	0.2056392236	645440.0816
55	0.2047563504	643436.4291
56	0.2035246623	639523.7734
57	0.2028275089	636746.513
58	0.2017485946	634436.6117
59	0.2007377072	631285.2266
60	0.1985537214	628662.2985
61	0.1984272748	626761.877
62	0.1981696626	623126.7829
63	0.1975799011	618770.331
64	0.1949666896	616259.3708
65	0.1948021048	613305.3645
66	0.1937870817	611702.8849
67	0.1923304073	610151.6536
68	0.1915495221	608667.7823
69	0.1901606304	606513.8681
70	0.1892786683	604315.6303
71	0.1882778555	601802.748
72	0.1877530721	600061.0391
73	0.1871240892	597847.2833
74	0.1870497008	593840.0577
75	0.1866808043	592339.5529
76	0.1865275001	590067.5049
77	0.1861816273	587538.5189
78	0.1847332026	586217.2043
79	0.1846651669	584666.9694
80	0.184525077	582856.5728
81	0.1843251302	580012.3451
82	0.1839492194	578726.0265
83	0.1838746989	577296.5371
84	0.1837618483	573712.3281
85	0.1826249426	572380.1716
86	0.1825669953	571503.1397
87	0.1825183552	570127.5449
88	0.1824681813	567592.9547
89	0.182201957	566003.423
90	0.1821471426	564643.7523
91	0.1820532658	561334.5711
92	0.1819285665	559330.5922
93	0.1811754967	558209.9995
94	0.1809244639	556311.6646
95	0.1809158721	554494.3601
96	0.1803200119	553391.6097
97	0.1797583738	552378.4386
98	0.1796180354	551213.7994
99	0.1793203777	550323.3608
100	0.1791709729	548577.0443
101	0.1787864157	547469.9829
102	0.1786779334	545529.6911
103	0.1786130705	544383.5462
104	0.1785262311	542703.3223
105	0.1781981952	541138.5288
106	0.1781231141	538954.3541
107	0.1780834972	537994.3103
108	0.1775828035	534659.4675
109	0.1767356557	531973.6595
110	0.1766739725	530414.5939
111	0.1759789936	529293.1672
112	0.175864275	528481.9882
113	0.1758024695	526192.5245
114	0.1757568819	525427.7351
115	0.1751697619	523778.3785
116	0.1751325806	522326.509
117	0.1750470259	521640.1021
118	0.1746536734	520952.9299
119	0.1745665744	519547.067
120	0.1745488764	518820.0346
121	0.1743121147	517398.9396
122	0.1740742447	515133.8925
123	0.1738945723	513914.8616
124	0.1738280299	512477.7678
125	0.1737593647	511244.8885
126	0.1733238761	509179.5283
127	0.1726343436	508304.9335
128	0.1726242449	507273.5929
129	0.1724207554	506160.7144
130	0.1721417357	505278.4683
131	0.1721390534	504720.7485
132	0.1716423515	504025.7705
133	0.1713215299	503107.6808
134	0.1712426871	501183.8204
135	0.1710079063	500072.4446
136	0.1702040894	498789.845
137	0.1700168941	498257.5402
138	0.1681040089	497549.6937
