iter	Passed	Remaining
0	57	285825
1	59	147978
2	61	101994
3	63	79045
4	65	65259
5	67	55930
6	69	49402
7	71	44526
8	73	40770
9	75	37661
10	77	35124
11	79	33057
12	81	31289
13	83	29803
14	85	28485
15	87	27332
16	89	26325
17	91	25412
18	93	24603
19	95	23843
20	97	23153
21	99	22559
22	101	22041
23	103	21532
24	105	21059
25	107	20630
26	109	20225
27	111	19843
28	117	20163
29	123	20416
30	126	20281
31	134	20860
32	145	21944
33	148	21747
34	152	21584
35	155	21431
36	157	21121
37	159	20828
38	161	20549
39	163	20280
40	165	20031
41	167	19809
42	169	19587
43	171	19358
44	173	19142
45	175	18940
46	177	18752
47	180	18570
48	182	18397
49	184	18222
50	186	18054
51	188	17891
52	189	17733
53	191	17582
54	193	17440
55	195	17300
56	197	17165
57	199	17038
58	202	16917
59	204	16841
60	211	17128
61	215	17138
62	218	17151
63	223	17256
64	228	17333
65	230	17218
66	232	17118
67	234	17004
68	240	17183
69	251	17706
70	255	17710
71	257	17655
72	261	17621
73	263	17515
74	265	17429
75	267	17322
76	269	17221
77	271	17122
78	273	17027
79	275	16928
80	277	16840
81	279	16750
82	281	16672
83	283	16601
84	285	16515
85	287	16434
86	289	16356
87	291	16277
88	293	16204
89	295	16131
90	297	16058
91	299	15991
92	301	15923
93	303	15854
94	305	15786
95	307	15717
96	309	15652
97	311	15594
98	313	15538
99	315	15478
100	317	15417
101	329	15806
102	333	15849
103	342	16131
104	346	16146
105	350	16196
106	356	16306
107	358	16253
108	360	16194
109	363	16138
110	364	16075
111	367	16017
112	369	15964
113	371	15909
114	373	15852
115	375	15803
116	378	15778
117	380	15722
118	381	15665
119	383	15609
120	385	15556
121	387	15503
122	389	15455
123	391	15407
124	393	15356
125	395	15312
126	397	15269
127	399	15220
128	401	15174
129	403	15130
130	405	15083
131	407	15037
132	410	15025
133	428	15565
134	437	15782
135	444	15892
136	448	15910
137	452	15933
138	454	15903
139	456	15862
140	458	15814
141	460	15766
142	462	15723
143	465	15681
144	467	15638
145	468	15590
146	471	15552
147	472	15506
148	475	15465
149	477	15427
150	479	15386
151	481	15345
152	483	15304
153	485	15262
154	487	15223
155	489	15186
156	491	15152
157	493	15116
158	498	15186
159	517	15666
160	522	15716
161	524	15678
162	527	15640
163	530	15639
164	533	15638
165	535	15599
166	537	15564
167	539	15526
168	541	15488
169	543	15448
170	545	15413
171	547	15375
172	549	15342
173	552	15314
174	554	15278
175	556	15244
176	558	15208
177	560	15175
178	562	15144
179	564	15109
180	566	15077
181	568	15045
182	570	15010
183	572	14993
184	579	15073
185	583	15111
186	587	15124
187	589	15092
188	591	15060
189	595	15065
190	597	15051
191	599	15020
192	602	14995
193	604	14965
194	606	14936
195	608	14908
196	610	14881
197	612	14853
198	614	14824
199	616	14793
200	618	14764
201	620	14734
202	622	14704
203	624	14678
204	626	14654
205	628	14628
206	630	14602
207	632	14575
208	634	14547
209	636	14522
210	638	14502
211	640	14475
212	642	14448
213	644	14422
214	646	14396
215	648	14369
216	650	14343
217	652	14317
218	654	14291
219	656	14266
220	658	14239
221	661	14233
222	663	14221
223	665	14197
224	667	14172
225	669	14149
226	671	14125
227	673	14101
228	675	14077
229	682	14147
230	692	14300
231	694	14277
232	696	14255
233	698	14233
234	701	14224
235	704	14212
236	706	14192
237	708	14171
238	710	14148
239	712	14126
240	714	14103
241	716	14083
242	718	14063
243	720	14042
244	722	14019
245	724	13998
246	726	13976
247	728	13955
248	730	13934
249	732	13913
250	734	13892
251	736	13872
252	738	13852
253	740	13832
254	742	13814
255	744	13795
256	746	13777
257	748	13758
258	750	13739
259	752	13720
260	754	13702
261	756	13683
262	763	13758
263	767	13776
264	779	13936
265	782	13923
266	785	13917
267	787	13905
268	789	13887
269	791	13869
270	793	13853
271	795	13834
272	798	13817
273	800	13798
274	801	13779
275	804	13762
276	806	13744
277	807	13724
278	809	13704
279	811	13686
280	813	13669
281	815	13650
282	817	13632
283	819	13613
284	821	13597
285	823	13578
286	825	13563
287	827	13546
288	830	13535
289	832	13518
290	835	13520
291	847	13669
292	849	13654
293	851	13635
294	853	13620
295	856	13603
296	858	13587
297	859	13569
298	864	13588
299	873	13688
300	881	13762
301	885	13781
302	888	13775
303	890	13757
304	892	13745
305	895	13739
306	897	13724
307	899	13706
308	903	13708
309	905	13695
310	907	13677
311	909	13660
312	911	13644
313	913	13627
314	915	13613
315	931	13807
316	934	13811
317	938	13815
318	941	13820
319	945	13827
320	948	13827
321	950	13814
322	954	13814
323	957	13816
324	960	13813
325	963	13812
326	966	13810
327	969	13811
328	972	13811
329	975	13810
330	979	13816
331	982	13815
332	985	13813
333	990	13843
334	994	13844
335	997	13842
336	1000	13841
337	1003	13836
338	1006	13835
339	1009	13833
340	1012	13834
341	1015	13835
342	1019	13835
343	1022	13833
344	1025	13843
345	1028	13828
346	1030	13812
347	1032	13797
348	1034	13781
349	1036	13766
350	1038	13749
351	1040	13733
352	1042	13718
353	1044	13702
354	1045	13685
355	1047	13670
356	1049	13653
357	1051	13638
358	1053	13622
359	1055	13607
360	1057	13591
361	1059	13576
362	1061	13561
363	1063	13546
364	1065	13531
365	1067	13516
366	1069	13505
367	1071	13492
368	1074	13479
369	1076	13467
370	1078	13453
371	1080	13438
372	1082	13424
373	1084	13410
374	1086	13396
375	1088	13382
376	1090	13367
377	1092	13353
378	1094	13339
379	1096	13325
380	1098	13312
381	1100	13299
382	1102	13285
383	1104	13271
384	1106	13258
385	1107	13243
386	1109	13229
387	1111	13216
388	1113	13203
389	1115	13189
390	1117	13176
391	1119	13163
392	1121	13149
393	1123	13137
394	1125	13124
395	1127	13111
396	1129	13098
397	1131	13084
398	1133	13071
399	1137	13078
400	1139	13066
401	1141	13053
402	1143	13041
403	1145	13029
404	1147	13017
405	1149	13004
406	1151	12991
407	1153	12978
408	1155	12966
409	1157	12954
410	1159	12942
411	1161	12930
412	1163	12917
413	1165	12905
414	1167	12894
415	1169	12882
416	1171	12870
417	1173	12858
418	1175	12846
419	1176	12834
420	1179	12823
421	1181	12812
422	1183	12800
423	1185	12789
424	1187	12779
425	1189	12768
426	1191	12756
427	1193	12744
428	1195	12733
429	1197	12721
430	1198	12710
431	1200	12698
432	1202	12687
433	1204	12675
434	1206	12665
435	1208	12653
436	1211	12645
437	1212	12633
438	1214	12622
439	1217	12613
440	1219	12601
441	1220	12590
442	1223	12580
443	1224	12570
444	1226	12558
445	1228	12547
446	1230	12536
447	1232	12526
448	1234	12515
449	1242	12564
450	1244	12553
451	1246	12542
452	1248	12531
453	1250	12520
454	1252	12510
455	1254	12500
456	1256	12489
457	1258	12478
458	1260	12468
459	1262	12457
460	1264	12447
461	1266	12436
462	1268	12425
463	1269	12415
464	1271	12404
465	1276	12420
466	1279	12423
467	1282	12423
468	1285	12420
469	1287	12410
470	1289	12400
471	1291	12390
472	1293	12380
473	1295	12370
474	1297	12360
475	1299	12350
476	1301	12341
477	1303	12330
478	1305	12320
479	1307	12310
480	1311	12322
481	1313	12315
482	1315	12305
